X_distance_m,Y_altitude_m
353.358,1724.75
354.359,1724.46
355.36,1724.56
356.361,1724.29
357.362,1723.9
358.363,1723.9
359.364,1723.99
360.365,1723.67
361.366,1723.29
362.367,1722.92
363.368,1722.71
364.369,1722.35
365.37,1721.91
366.371,1721.91
367.372,1721.52
368.373,1721.21
369.374,1721.15
370.375,1720.84
371.376,1720.47
372.377,1720.37
373.378,1719.83
374.379,1719.62
375.38,1719.26
376.381,1718.74
377.382,1718.43
378.383,1717.83
379.384,1717.57
380.385,1717.28
381.386,1716.93
382.387,1716.58
383.388,1716.48
384.389,1716.14
385.39,1715.68
386.391,1715.56
387.392,1715.05
388.393,1714.77
389.394,1714.49
390.395,1713.91
391.396,1713.61
392.397,1713.31
393.398,1712.91
394.399,1712.77
395.4,1712.29
396.401,1711.87
397.402,1711.87
398.403,1711.5
399.404,1711.13
400.405,1711.08
401.406,1710.71
402.407,1710.28
403.408,1710.18
404.41,1709.66
405.411,1709.66
406.412,1709.21
407.413,1708.71
408.414,1708.68
409.415,1708.26
410.416,1707.9
411.417,1707.9
412.418,1707.47
413.419,1707.1
414.42,1707.1
415.421,1706.63
416.422,1706.25
417.423,1706.27
418.424,1705.71
419.425,1705.91
420.426,1705.4
421.427,1704.89
422.428,1704.89
423.429,1704.33
424.43,1703.76
425.431,1703.71
426.432,1703.23
427.433,1702.74
428.434,1702.66
429.435,1702.15
430.436,1701.64
431.437,1701.64
432.438,1701.13
433.439,1701.11
434.44,1700.62
435.441,1700.25
436.442,1700.26
437.443,1699.94
438.444,1699.47
439.445,1699.46
440.446,1699.01
441.447,1698.53
442.448,1698.57
443.449,1698.21
444.45,1697.84
445.451,1697.87
446.452,1697.66
447.453,1697.71
448.454,1697.51
449.455,1697.66
450.456,1697.81
451.457,1697.88
452.458,1697.47
453.459,1697.41
454.46,1696.89
455.461,1696.72
456.462,1696.9
457.463,1696.54
458.464,1696.36
459.465,1696.54
460.466,1696.84
461.467,1696.84
462.468,1697.12
463.469,1696.96
464.47,1696.36
465.471,1695.66
466.472,1694.87
467.473,1694.96
468.474,1694.46
469.475,1694.85
470.476,1694.85
471.477,1694.96
472.478,1694.68
473.479,1694.86
474.48,1694.41
475.481,1694.55
476.482,1694.3
477.484,1693.98
478.485,1693.98
479.486,1693.82
480.487,1693.84
481.488,1694.33
482.489,1694.02
483.49,1694.18
484.491,1694.61
485.492,1694.57
486.493,1694.68
487.494,1694.68
488.495,1694.51
489.496,1694.76
490.497,1694.6
491.498,1694.28
492.499,1694.54
493.5,1694.4
494.501,1694.22
495.502,1694.22
496.503,1693.99
497.504,1693.71
498.505,1693.91
499.506,1693.76
500.507,1693.44
501.508,1693.6
502.509,1693.35
503.51,1693.65
504.511,1693.38
505.512,1693.05
506.513,1693.26
507.514,1692.96
508.515,1692.52
509.516,1692.62
510.517,1692.29
511.518,1691.96
512.519,1691.96
513.52,1691.68
514.521,1691.37
515.522,1691.47
516.523,1691.14
517.524,1690.63
518.525,1690.88
519.526,1690.67
520.527,1690.91
521.528,1690.46
522.529,1690.18
523.53,1690.43
524.531,1690.29
525.532,1689.76
526.533,1690.05
527.534,1689.77
528.535,1689.62
529.536,1690.05
530.537,1689.39
531.538,1689.32
532.539,1689.59
533.54,1689.36
534.541,1689.36
535.542,1689.0
536.543,1688.95
537.544,1689.54
538.545,1689.03
539.546,1688.99
540.547,1689.34
541.548,1689.07
542.549,1688.6
543.55,1689.03
544.551,1688.78
545.552,1688.4
546.553,1688.7
547.554,1688.19
548.555,1688.78
549.556,1688.52
550.557,1688.15
551.559,1688.15
552.56,1687.9
553.561,1687.52
554.562,1687.78
555.563,1687.28
556.564,1687.0
557.565,1687.12
558.566,1686.73
559.567,1686.23
560.568,1686.23
561.569,1685.85
562.57,1685.84
563.571,1685.38
564.572,1684.98
565.573,1685.0
566.574,1684.55
567.575,1684.09
568.576,1684.09
569.577,1683.43
570.578,1682.85
571.579,1682.81
572.58,1682.39
573.581,1681.9
574.582,1681.78
575.583,1681.28
576.584,1681.14
577.585,1680.72
578.586,1680.26
579.587,1679.91
580.588,1679.28
581.589,1678.93
582.59,1678.61
583.591,1677.88
584.592,1677.27
585.593,1677.27
586.594,1676.6
587.595,1675.4
588.596,1674.97
589.597,1674.19
590.598,1674.19
591.599,1673.38
592.6,1672.62
593.601,1672.43
594.602,1672.02
595.603,1671.32
596.604,1671.06
597.605,1670.4
598.606,1670.06
599.607,1669.78
600.608,1669.45
601.609,1668.99
602.61,1669.55
603.611,1670.04
604.612,1670.02
605.613,1670.26
606.614,1670.58
607.615,1670.58
608.616,1670.34
609.617,1668.21
610.618,1666.84
611.619,1665.82
612.62,1665.08
613.621,1664.9
614.622,1664.73
615.623,1664.23
616.624,1664.66
617.625,1664.61
618.626,1664.89
619.627,1664.63
620.628,1664.17
621.629,1664.28
622.63,1663.79
623.631,1663.53
624.633,1663.53
625.634,1663.19
626.635,1663.01
627.636,1663.28
628.637,1662.77
629.638,1662.9
630.639,1663.12
631.64,1662.7
632.641,1662.77
633.642,1662.77
634.643,1662.39
635.644,1662.98
636.645,1662.98
637.646,1662.69
638.647,1663.39
639.648,1663.23
640.649,1663.16
641.65,1663.16
642.651,1663.18
643.652,1662.15
644.653,1662.16
645.654,1662.09
646.655,1661.96
647.656,1662.38
648.657,1662.14
649.658,1662.4
650.659,1662.4
651.66,1662.35
652.661,1662.84
653.662,1663.22
654.663,1663.01
655.664,1663.4
656.665,1663.29
657.666,1663.64
658.667,1663.64
659.668,1664.36
660.669,1663.55
661.67,1663.79
662.671,1664.69
663.672,1664.69
664.673,1666.59
665.674,1666.93
666.675,1666.78
667.676,1666.87
668.677,1666.75
669.678,1666.15
670.679,1666.37
671.68,1665.91
672.681,1666.69
673.682,1666.94
674.683,1667.43
675.684,1667.43
676.685,1667.99
677.686,1668.75
678.687,1669.31
679.688,1669.76
680.689,1669.76
681.69,1670.36
682.691,1670.85
683.692,1671.54
684.693,1671.52
685.694,1671.87
686.695,1672.5
687.696,1672.99
688.697,1672.8
